iter	Passed	Remaining
0	156	156707
1	157	78611
2	158	52588
3	158	39545
4	159	31716
5	159	26491
6	160	22757
7	160	19958
8	161	17788
9	162	16048
10	162	14625
11	163	13437
12	163	12433
13	164	11573
14	164	10827
15	165	10171
16	165	9593
17	166	9078
18	166	8619
19	167	8206
20	168	7832
21	168	7491
22	169	7179
23	169	6893
24	170	6633
25	170	6398
26	171	6181
27	172	5981
28	172	5786
29	173	5605
30	173	5438
31	174	5281
32	175	5133
33	175	4996
34	176	4867
35	177	4744
36	177	4627
37	178	4517
38	179	4413
39	179	4314
40	180	4221
41	181	4131
42	181	4044
43	182	3961
44	182	3881
45	183	3808
46	184	3735
47	185	3672
48	185	3603
49	186	3539
50	187	3480
51	187	3419
52	188	3362
53	188	3307
54	189	3253
55	189	3202
56	190	3151
57	191	3103
58	191	3056
59	192	3010
60	192	2966
61	193	2923
62	193	2882
63	194	2844
64	195	2806
65	195	2768
66	196	2733
67	196	2693
68	197	2658
69	197	2625
70	198	2595
71	198	2563
72	199	2532
73	200	2503
74	200	2474
75	201	2445
76	201	2417
77	202	2391
78	202	2365
79	203	2338
80	203	2314
81	204	2289
82	205	2268
83	206	2248
84	206	2226
85	207	2205
86	208	2184
87	208	2165
88	209	2146
89	210	2127
90	210	2107
91	211	2088
92	212	2069
93	212	2051
94	213	2033
95	214	2015
96	214	1999
97	215	1984
98	216	1968
99	217	1956
100	218	1943
101	218	1926
102	219	1911
103	220	1896
104	220	1881
105	221	1867
106	221	1852
107	222	1838
108	223	1824
109	223	1810
110	224	1797
111	224	1783
112	225	1770
113	226	1756
114	226	1743
115	226	1729
116	227	1716
117	228	1704
118	228	1690
119	228	1678
120	229	1666
121	229	1655
122	230	1643
123	231	1636
124	232	1626
125	232	1615
126	233	1606
127	234	1594
128	234	1583
129	235	1573
130	235	1562
131	236	1552
132	236	1541
133	237	1531
134	237	1522
135	238	1512
136	238	1502
137	238	1492
138	239	1483
139	239	1474
140	240	1465
141	241	1456
142	241	1447
143	242	1438
144	242	1430
145	243	1421
146	243	1413
147	244	1405
148	244	1397
149	245	1391
150	246	1383
151	246	1377
152	247	1369
153	247	1361
154	248	1354
155	249	1347
156	249	1339
157	249	1332
158	250	1324
159	250	1317
160	251	1310
161	251	1303
162	252	1296
163	252	1289
164	253	1282
165	253	1275
166	254	1269
167	255	1263
168	255	1256
169	256	1250
170	256	1243
171	257	1237
172	257	1231
173	258	1225
174	258	1219
175	259	1213
176	259	1208
177	260	1203
178	261	1197
179	261	1192
